consumidor,tipo_inmueble,moneda_region,uso_horario_pico,cantidad_equipos,horas_alto_consumo,consumo_kwh,perfil_energetico
Usuario_879,Oficina,MXN,True,29,1,475.12,Eficiente
Usuario_880,Comercio,USD,True,33,3,1061.97,Moderado
Usuario_881,Comercio,MXN,True,10,9,513.78,Eficiente
Usuario_882,Apartamento,MXN,True,34,5,279.73,Eficiente
Usuario_883,Apartamento,USD,True,8,12,132.96,Eficiente
Usuario_884,Oficina,PEN,False,37,5,762.33,Eficiente
Usuario_885,Oficina,COP,True,33,11,356.25,Eficiente
Usuario_886,Oficina,USD,True,6,4,347.44,Eficiente
Usuario_887,Casa,CLP,True,19,3,326.55,Eficiente
Usuario_888,Casa,PEN,False,32,5,340.75,Eficiente
Usuario_889,Apartamento,PEN,False,27,11,179.15,Eficiente
Usuario_890,Casa,CLP,False,1,4,414.79,Moderado
Usuario_891,Oficina,COP,True,33,8,521.46,Eficiente
Usuario_892,Oficina,PEN,True,32,4,317.09,Eficiente
Usuario_893,Casa,MXN,True,5,11,321.88,Eficiente
Usuario_894,Comercio,COP,True,17,12,987.3,Ineficiente
Usuario_895,Apartamento,BRL,True,8,8,283.73,Eficiente
Usuario_896,Comercio,CLP,False,34,6,927.41,Moderado
Usuario_897,Apartamento,COP,False,9,12,285.59,Eficiente
Usuario_898,Comercio,USD,False,23,11,637.68,Eficiente
Usuario_899,Casa,COP,True,35,5,244.88,Eficiente
Usuario_900,Apartamento,MXN,False,7,4,191.94,Eficiente
Usuario_901,Apartamento,USD,True,15,4,314.99,Moderado
Usuario_902,Apartamento,ARS,True,20,12,347.7,Moderado
Usuario_903,Oficina,CLP,False,25,4,546.92,Eficiente
Usuario_904,Oficina,CLP,True,3,11,304.85,Eficiente
Usuario_905,Comercio,COP,True,24,13,518.03,Eficiente
Usuario_906,Casa,PEN,True,34,13,322.73,Eficiente
Usuario_907,Oficina,USD,False,22,9,589.29,Eficiente
Usuario_908,Apartamento,ARS,False,11,4,148.52,Eficiente
Usuario_909,Oficina,USD,True,8,12,771.68,Ineficiente
Usuario_910,Casa,CLP,False,39,9,337.78,Eficiente
Usuario_911,Oficina,USD,True,35,13,756.29,Moderado
Usuario_912,Apartamento,ARS,True,38,10,303.71,Eficiente
Usuario_913,Comercio,PEN,False,8,6,948.81,Moderado
Usuario_914,Apartamento,COP,False,37,10,265.48,Eficiente
Usuario_915,Casa,MXN,False,27,13,429.37,Eficiente
Usuario_916,Comercio,USD,True,28,7,866.6,Moderado
Usuario_917,Oficina,MXN,False,34,12,614.36,Eficiente
Usuario_918,Oficina,CLP,False,32,10,576.86,Eficiente
Usuario_919,Oficina,COP,False,15,3,793.21,Moderado
Usuario_920,Comercio,BRL,True,17,8,932.6,Moderado
Usuario_921,Apartamento,COP,False,33,3,302.93,Eficiente
Usuario_922,Comercio,USD,True,16,1,1030.72,Ineficiente
Usuario_923,Comercio,PEN,True,29,13,570.95,Eficiente
Usuario_924,Casa,COP,True,9,13,239.33,Eficiente
Usuario_925,Comercio,USD,True,33,10,758.03,Eficiente
Usuario_926,Oficina,USD,True,29,12,557.04,Eficiente
Usuario_927,Apartamento,MXN,False,13,5,314.42,Eficiente
Usuario_928,Apartamento,COP,True,21,2,229.63,Eficiente
Usuario_929,Apartamento,USD,False,21,10,257.59,Eficiente
Usuario_930,Oficina,MXN,True,5,6,563.54,Eficiente
Usuario_931,Oficina,ARS,True,10,13,319.1,Eficiente
Usuario_932,Oficina,BRL,True,6,10,607.61,Moderado
Usuario_933,Oficina,MXN,True,13,9,714.02,Moderado
Usuario_934,Oficina,MXN,True,1,1,378.75,Eficiente
Usuario_935,Comercio,USD,True,20,13,836.03,Moderado
Usuario_936,Oficina,CLP,True,8,4,596.81,Ineficiente
Usuario_937,Oficina,CLP,True,10,1,382.09,Eficiente
Usuario_938,Oficina,PEN,True,9,1,361.73,Eficiente
Usuario_939,Oficina,CLP,True,3,8,790.03,Ineficiente
Usuario_940,Apartamento,MXN,True,11,13,218.62,Eficiente
Usuario_941,Oficina,PEN,False,12,11,413.71,Eficiente
Usuario_942,Comercio,USD,False,10,2,539.93,Eficiente
Usuario_943,Comercio,COP,False,25,1,887.32,Eficiente
Usuario_944,Comercio,BRL,True,25,11,846.61,Eficiente
Usuario_945,Casa,BRL,False,11,8,435.24,Eficiente
Usuario_946,Apartamento,MXN,False,36,4,151.36,Eficiente
Usuario_947,Oficina,MXN,False,39,3,746.77,Eficiente
Usuario_948,Casa,PEN,True,26,13,346.24,Eficiente
Usuario_949,Oficina,USD,False,14,12,456.68,Eficiente
Usuario_950,Casa,ARS,False,39,4,371.83,Eficiente
Usuario_951,Casa,MXN,True,1,11,346.52,Moderado
Usuario_952,Comercio,ARS,False,4,5,1024.5,Moderado
Usuario_953,Comercio,ARS,True,30,1,1070.48,Moderado
Usuario_954,Casa,CLP,True,12,11,316.21,Eficiente
Usuario_955,Comercio,USD,True,35,1,1024.76,Moderado
Usuario_956,Casa,BRL,False,13,3,483.53,Eficiente
Usuario_957,Apartamento,BRL,True,31,6,336.78,Eficiente
Usuario_958,Comercio,ARS,True,38,1,592.03,Eficiente
Usuario_959,Comercio,BRL,True,23,11,823.87,Eficiente
Usuario_960,Comercio,USD,True,4,12,612.18,Moderado
Usuario_961,Apartamento,CLP,True,16,2,313.3,Moderado
Usuario_962,Casa,USD,False,7,12,211.86,Eficiente
Usuario_963,Oficina,MXN,False,22,7,582.41,Eficiente
Usuario_964,Comercio,ARS,True,29,1,657.44,Eficiente
Usuario_965,Casa,USD,True,11,13,322.94,Eficiente
Usuario_966,Apartamento,BRL,True,33,7,273.88,Eficiente
Usuario_967,Oficina,COP,False,29,4,725.74,Eficiente
Usuario_968,Comercio,USD,True,39,10,846.44,Moderado
Usuario_969,Apartamento,ARS,True,12,6,319.7,Moderado
Usuario_970,Apartamento,CLP,True,7,8,190.21,Eficiente
Usuario_971,Oficina,BRL,False,39,9,559.75,Eficiente
Usuario_972,Casa,CLP,False,26,6,367.69,Eficiente
Usuario_973,Comercio,ARS,False,9,12,428.15,Eficiente
Usuario_974,Comercio,BRL,False,34,11,809.77,Eficiente
Usuario_975,Casa,MXN,True,13,13,441.53,Moderado
Usuario_976,Casa,BRL,True,36,9,417.17,Eficiente
Usuario_977,Casa,MXN,True,25,4,467.7,Eficiente
Usuario_978,Oficina,CLP,True,24,6,585.67,Moderado
Usuario_979,Oficina,CLP,True,17,8,333.38,Eficiente
Usuario_980,Comercio,ARS,True,2,9,501.51,Eficiente
Usuario_981,Oficina,MXN,True,13,3,598.24,Eficiente
Usuario_982,Apartamento,CLP,False,31,2,192.5,Eficiente
Usuario_983,Comercio,MXN,False,29,6,475.75,Eficiente
Usuario_984,Oficina,CLP,False,28,4,514.8,Eficiente
Usuario_985,Casa,BRL,False,27,1,404.01,Eficiente
Usuario_986,Apartamento,USD,True,15,8,204.32,Eficiente
Usuario_987,Casa,COP,False,31,9,462.15,Eficiente
Usuario_988,Comercio,BRL,True,15,9,870.64,Moderado
Usuario_989,Casa,PEN,False,33,2,326.49,Eficiente
Usuario_990,Oficina,USD,True,20,9,677.44,Moderado
Usuario_991,Oficina,PEN,False,12,7,624.35,Moderado
Usuario_992,Comercio,CLP,True,37,5,866.21,Moderado
Usuario_993,Casa,COP,True,9,7,403.7,Eficiente
Usuario_994,Comercio,COP,False,23,13,427.97,Eficiente
Usuario_995,Casa,CLP,True,8,9,453.78,Ineficiente
Usuario_996,Apartamento,CLP,False,32,8,214.73,Eficiente
Usuario_997,Oficina,MXN,False,14,6,771.3,Moderado
Usuario_998,Comercio,CLP,False,27,13,992.59,Moderado
Usuario_999,Apartamento,ARS,False,25,4,261.29,Eficiente
Usuario_1000,Apartamento,CLP,False,13,13,187.48,Eficiente
